sale_id,sale_date,product_id,customer_id,quantity,amount
1,2025-08-12,101,1001,2,299.8
2,2025-02-03,103,1002,2,521.21
3,2025-04-07,126,1001,3,513.27
4,2025-01-12,135,1014,12,471.23
5,2025-06-04,131,1003,6,123.52
6,2025-11-12,132,1005,7,25.2
7,2025-11-05,127,1012,5,100.12
8,2025-03-06,101,1006,1,7182.32
9,2025-02-06,106,1008,3,239.97
10,2025-02-07,131,1009,1,89.99
11,2025-02-08,101,1016,2,299.98
12,2025-12-09,134,1001,1,59.99
13,2025-03-10,102,1028,2,179.98
14,2025-10-11,103,1003,11,49.99
15,2025-11-12,106,1004,2,279.99
16,2025-09-03,134,1005,3,269.97
17,2025-03-14,101,1006,14,249.98
18,2025-11-15,125,1027,1,59.99
19,2025-03-01,102,1008,3,269.97
20,2025-12-02,103,1009,2,59.98
21,2025-04-23,116,1010,2,159.98
22,2025-07-04,104,1001,12,89.99
23,2025-04-27,101,1002,32,469.97
24,2025-04-06,125,1003,2,119.98
25,2025-05-10,102,1004,15,79.99
26,2025-08-14,121,1006,7,299.98
27,2025-05-15,105,1007,5,259.99
28,2025-11-02,102,1008,3,2569.97
29,2025-05-07,135,1026,1,412.2
30,2025-11-23,125,1036,12,412.2
31,2025-11-01,132,1040,1,42.5
32,2025-12-22,131,1040,22,412.2
33,2025-10-30,134,1037,12,412.2
34,2025-04-03,111,1028,33,75.9
35,2025-11-19,127,1040,31,271.828
